package_id,status,manifest_hash,package_type,plane_id,assets_count,installed_at,uninstalled_at
PKG-ADMIN-EXT-001,installed,sha256:905091a9b65d724310e23da18a0f8da173e9c10729db818f7cdbbefac639af12,module,ho3,2,2026-02-06T01:06:32.544390+00:00,
PKG-BASELINE-HO3-000,installed,sha256:aff69409dd1dedb637d67e6671f97f54923a2d5b11e35384925aa27e5455a362,baseline,ho3,134,2026-02-03T04:22:48.636971+00:00,
PKG-CHAT-001,installed,sha256:f4a2ac51639830db01bfcc876a0e911fb064f3b18777bb2f46f346908580764c,module,ho3,27,2026-02-06T01:06:31.993882+00:00,
PKG-CONFIRM-REMOVE-001,installed,sha256:b92414a80d03ec81af2b79346b194a8349c8addbe971f96d14240e9382a1c338,standard,ho3,3,2026-02-07T05:48:46.034263+00:00,
PKG-CORE-SCRIPTS-001,installed,sha256:6b9c3cd4391241dbc33fc245a2aa03fe05a379ab160cf27870a762ad6119947a,module,ho3,2,2026-02-06T01:06:34.130701+00:00,
PKG-DOCS-001,installed,sha256:6bfcb921005987a0453ea0d95ceddc9686a211cfdc235905b9e6e3e02eee72b0,documentation,ho3,9,2026-02-06T01:06:33.063573+00:00,
PKG-GENERAL-HANDLER-001,installed,sha256:044fc7df09fbdda774415d964124675198f075faa52863e11e4739d6aa78afa4,standard,ho3,1,2026-02-07T02:43:43.736576+00:00,
PKG-GENERAL-TEST-001,installed,sha256:df60dc24cdafc679a996f59750ce2a21d4f5e39f7284b76d6d0acef97edfcc9d,standard,ho3,1,2026-02-07T02:48:37.929242+00:00,
PKG-RATE-MGMT-001,installed,sha256:08356998adad3afaafe5df79f3045dd49fad7dfb8b7ae04545741e560fd14bfa,module,ho3,2,2026-02-06T23:40:30.132796+00:00,
PKG-ROUTER-CAPS-001,installed,sha256:598f40ef8ed5e52ffa0428f7e04eba5bdcefae07ee8355ba541bc426ede6a172,standard,ho3,8,2026-02-07T06:17:02.777618+00:00,
PKG-ROUTER-EXT-001,installed,sha256:5801f33914afda5e3853fd815223979263e35326f98143458eb9447c6460c189,module,ho3,1,2026-02-06T01:06:33.545627+00:00,
PKG-ROUTER-FIX-001,installed,sha256:5d27c20dae875426873d65947d9ae5e64d0f8ac00464262e6843aa6e51d82add,patch,ho3,1,2026-02-07T00:18:01.420674+00:00,
PKG-ROUTER-PARAM-001,installed,sha256:9b20a97be918fc6e035b480ed90a8cc514077650950fbf983045c00eeeb52e1d,standard,ho3,1,2026-02-07T05:52:53.039899+00:00,
PKG-ROUTER-PURE-001,installed,sha256:819fb2d1d07f187bfed2ba0a1e821bfce2c3b187b7c27b815dbab2cc2f5dd5b5,standard,ho3,3,2026-02-07T02:17:01.778715+00:00,
PKG-ROUTER-PURE-TESTS-001,installed,sha256:5b22898daf4f96bbef69ba260642a5005f99200a3b7f4b1df559e49ead161dd8,test,ho3,1,2026-02-07T02:28:46.272631+00:00,
PKG-SHELL-001,installed,sha256:d5d2adf80305686d912e5ad3d997a6d84a57cd1491eed72653181bf0b402ddc1,module,ho3,29,2026-02-06T01:08:08.301746+00:00,
PKG-T0-EVIDENCE-001,installed,sha256:51fde6b6ee376e83133a75351ade4898c6733993a2076963ddb7b9411a0ca5d6,library,ho3,9,2026-02-04T01:15:49.114898+00:00,
PKG-T1-RUNTIME-001,installed,sha256:83baa809d5e978067e3f7d4b75ef06026ce5c2d2f3e98c348154a02c3a133538,library,ho3,11,2026-02-04T01:16:06.029956+00:00,
PKG-T3-ADMIN-001,installed,sha256:b4644106af545dcc32d8797eceee7076a9639c9b2ea2919064ad86f3251b1f73,agent,ho3,4,2026-02-04T01:16:14.385740+00:00,
PKG-TEST-RATE-MGMT-001,installed,sha256:a46aa93fc558366f009c048106670edc2c33ef4648c4016fe8e1d3538ef79081,test,ho3,1,2026-02-06T23:54:45.430838+00:00,
PKG-TEST-ROUTER-CAPS-001,installed,sha256:70106d03a14a5458130b534a5b5c381214612314a755015708be0a25a444a8dd,test,ho3,5,2026-02-07T06:39:10.520885+00:00,
