package_id,status,manifest_hash,package_type,plane_id,assets_count,installed_at,uninstalled_at
PKG-BASELINE-HO3-000,installed,sha256:d6483ae8026c70c95e4b027867d1bc20aee1ae1c45e7ded94e439c0d795b1ed4,baseline,ho3,137,2026-02-03T06:11:46.817227+00:00,
PKG-CONFIRM-REMOVE-001,installed,sha256:b92414a80d03ec81af2b79346b194a8349c8addbe971f96d14240e9382a1c338,standard,ho3,3,2026-02-07T05:48:46.034263+00:00,
PKG-GENERAL-HANDLER-001,installed,sha256:044fc7df09fbdda774415d964124675198f075faa52863e11e4739d6aa78afa4,standard,ho3,1,2026-02-07T02:43:43.736576+00:00,
PKG-GENERAL-TEST-001,installed,sha256:df60dc24cdafc679a996f59750ce2a21d4f5e39f7284b76d6d0acef97edfcc9d,standard,ho3,1,2026-02-07T02:48:37.929242+00:00,
PKG-RATE-MGMT-001,installed,sha256:08356998adad3afaafe5df79f3045dd49fad7dfb8b7ae04545741e560fd14bfa,module,ho3,2,2026-02-06T23:40:30.132796+00:00,
PKG-ROUTER-CAPS-001,installed,sha256:598f40ef8ed5e52ffa0428f7e04eba5bdcefae07ee8355ba541bc426ede6a172,standard,ho3,8,2026-02-07T06:17:02.777618+00:00,
PKG-ROUTER-FIX-001,installed,sha256:5d27c20dae875426873d65947d9ae5e64d0f8ac00464262e6843aa6e51d82add,patch,ho3,1,2026-02-07T00:18:01.420674+00:00,
PKG-ROUTER-PARAM-001,installed,sha256:9b20a97be918fc6e035b480ed90a8cc514077650950fbf983045c00eeeb52e1d,standard,ho3,1,2026-02-07T05:52:53.039899+00:00,
PKG-ROUTER-PURE-001,installed,sha256:819fb2d1d07f187bfed2ba0a1e821bfce2c3b187b7c27b815dbab2cc2f5dd5b5,standard,ho3,3,2026-02-07T02:17:01.778715+00:00,
PKG-ROUTER-PURE-TESTS-001,installed,sha256:5b22898daf4f96bbef69ba260642a5005f99200a3b7f4b1df559e49ead161dd8,test,ho3,1,2026-02-07T02:28:46.272631+00:00,
PKG-TEST-RATE-MGMT-001,installed,sha256:a46aa93fc558366f009c048106670edc2c33ef4648c4016fe8e1d3538ef79081,test,ho3,1,2026-02-06T23:54:45.430838+00:00,
PKG-TEST-ROUTER-CAPS-001,installed,sha256:70106d03a14a5458130b534a5b5c381214612314a755015708be0a25a444a8dd,test,ho3,5,2026-02-07T06:39:10.520885+00:00,
